market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
bx-quarterly-earnings-gaap-eps-10-23-2025-1pt23,BX,2025-10-23,gaap,GAAP,1.23,0.8,2.41,0.6523534969801558,0.9382624172566882,1.63,2.39
bynd-quarterly-earnings-gaap-eps-11-04-2025-neg0pt48,BYND,2025-11-04,gaap,GAAP,-0.48,-1.44,-0.41,0.14999999179473145,0.36332171693968424,-0.91,-0.53
bzfd-quarterly-earnings-gaap-eps-11-06-2025-neg0pt06,BZFD,2025-11-06,gaap,GAAP,-0.06,-0.2,-0.06,0.14665417433495062,1.044156072990003,-1.32,-0.01
c-quarterly-earnings-gaap-eps-01-14-2026-1pt69,C,2026-01-14,gaap,GAAP,1.69,6.99,1.83,0.3287066044521706,0.6183035196602413,1.39,1.54
c-quarterly-earnings-gaap-eps-2025-10-14-1pt90,C,2025-10-14,gaap,GAAP,1.9,1.86,1.89,0.7332878352393695,0.6484807419864315,2.34,1.94
cat-quarterly-earnings-nongaap-eps-10-29-2025-4pt52,CAT,2025-10-29,nongaap,Non-GAAP,4.52,4.95,4.54,0.6071778990213865,0.44671443661335597,4.65,4.21
cb-quarterly-earnings-nongaap-eps-10-21-2025-5pt78,CB,2025-10-21,nongaap,Non-GAAP,5.78,7.49,6.15,0.8799999895847112,0.2951771425001357,6.19,5.78
cbre-quarterly-earnings-gaap-eps-10-23-2025-1pt27,CBRE,2025-10-23,gaap,GAAP,1.27,1.21,1.27,0.4822221493006979,0.32305164752667176,1.25,1.46
cbt-quarterly-earnings-nongaap-eps-11-03-2025-1pt68,CBT,2025-11-03,nongaap,Non-GAAP,1.68,7.25,1.68,0.8352776422768206,0.0874729395385519,1.78,1.67
ccl-quarterly-earnings-nongaap-eps-12-19-2025-0pt25,CCL,2025-12-19,nongaap,Non-GAAP,0.25,2.25,0.25,0.9707536035923603,0.039312269655344824,0.35,0.22
celh-quarterly-earnings-gaap-eps-11-06-2025-0pt26,CELH,2025-11-06,gaap,GAAP,0.26,-0.27,0.24,0.9071611946944814,0.26322635883370127,0.68,0.49
cflt-quarterly-earnings-nongaap-eps-10-27-2025-0pt1,CFLT,2025-10-27,nongaap,Non-GAAP,0.1,0.13,0.1,0.7663616312604844,0.023915887961137822,0.12,0.09
